Date,ipo_name,issue_size_cr,qib_subscription,hni_subscription,rii_subscription,total_subscription,issue_price,listing_open,listing_close,listing_gains_pct,cmp,Current  Gains (%),Year,Month,Quarter,listing_gain_abs,performance_category,nifty_close,nifty_30d_return,Month_Name
2010-02-03,Infinite Comp,189.8,48.44,106.02,11.08,43.22,165.0,178.35,184.51,11.82,473.75,187.12,2010,2,1,19.50999999999999,Moderate,4931.85,,Feb
2010-02-08,Jubilant Food,328.7,59.39,51.95,3.79,31.11,145.0,160.0,114.5,-21.03,3770.2,2500.14,2010,2,1,-30.5,Loss,4760.4,,Feb
2010-02-15,Vascon Engineer,199.8,1.12,3.65,0.62,1.22,165.0,155.9,146.38,-11.28,21.7,-86.85,2010,2,1,-18.620000000000005,Loss,4801.95,,Feb
2010-02-15,Syncom Health,56.25,0.99,16.6,6.25,5.17,75.0,88.0,87.85,17.13,4.06,-94.59,2010,2,1,12.849999999999994,Moderate,4801.95,,Feb
2010-02-23,Aqua Logistics,150.0,0.26,5.07,3.0,1.94,220.0,225.0,24.46,-88.88,1.4,-99.36,2010,2,1,-195.54,Loss,4870.05,-7.226540176020102,Feb
2010-02-24,DB Realty,1500.0,1.35,1.21,0.01,0.85,468.0,452.1,455.4,-2.69,25.6,-94.53,2010,2,1,-12.600000000000025,Loss,4858.6,-6.75188085367725,Feb
2010-02-24,Emmbi Ind,43.08,0.43,5.55,0.46,1.2,45.0,46.0,28.65,-36.33,113.8,152.89,2010,2,1,-16.35,Loss,4858.6,-6.75188085367725,Feb
2010-02-25,Hathway Cable,735.4,1.43,4.29,0.28,1.36,240.0,246.0,41.56,-82.68,26.05,-89.15,2010,2,1,-198.44,Loss,4859.75,-7.149476017157208,Feb
2010-03-03,ARSS Infra,103.0,49.34,124.53,18.55,47.62,450.0,640.0,736.3,63.62,31.5,-93.0,2010,3,1,286.29999999999995,Blockbuster,5088.1,-3.5403850346455323,Mar
2010-03-10,Texmo Pipes,45.0,1.02,30.5,7.26,7.48,90.0,92.8,137.25,52.5,54.2,-39.78,2010,3,1,47.25,Blockbuster,5116.25,2.1635815411649606,Mar
2010-03-11,Man Infra,142.0,96.06,104.57,10.26,62.53,252.0,335.0,69.65,-72.36,65.1,-74.17,2010,3,1,-182.35,Loss,5133.4,5.775689765304626,Mar
2010-03-18,United Bank,330.0,47.08,39.15,9.8,33.38,66.0,77.0,68.8,4.24,4.48,-93.21,2010,3,1,2.799999999999997,Weak,5245.9,6.367793018846868,Mar
2010-03-29,DQ Entertain,128.38,93.86,272.88,19.45,86.33,80.0,135.0,108.55,35.69,0.91,-98.86,2010,3,1,28.55,Strong,5302.85,11.469982342554452,Mar
